Team,HGS,HGC,AGS,AGC,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,totalpoints,TGS,TGC,GD,homepoints,awaypoints,gamesplayed,homewin,homedraw,homeloss,awaywin,awaydraw,awayloss,winsagg,drawsagg,lossagg
Arsenal,892,367,669,509,6550,5114,3246,2434,4520,4601,3060,2183,580,712,25,49,1603,1561,876,685,929,674,836,281,86,51,189,107,122,470,193,173
Aston Villa,457,427,409,582,4289,3668,1942,1715,4267,4662,2214,1798,512,693,25,23,885,866,1009,-143,504,381,722,132,108,121,93,102,166,225,210,287
Birmingham,162,140,111,220,1365,1064,707,549,1634,1687,748,565,191,241,13,14,301,273,360,-87,196,105,266,50,46,37,23,36,74,73,82,111
Blackburn,289,239,229,353,2645,2000,1343,1047,2886,2848,1206,1036,342,411,23,27,530,518,592,-74,317,213,418,86,59,64,54,51,104,140,110,168
Blackpool,30,37,25,41,253,193,134,101,216,187,94,92,22,25,0,2,39,55,78,-23,20,19,38,5,5,9,5,4,10,10,9,19
Bolton,278,260,217,353,2787,2003,1546,1010,2617,2765,1288,970,296,428,17,19,506,495,613,-118,306,200,418,81,63,65,51,47,111,132,110,176
Bournemouth,136,148,105,182,1191,1021,399,347,872,903,540,475,152,139,5,4,211,241,330,-89,127,84,190,34,25,36,22,18,55,56,43,91
Bradford,20,29,10,41,221,150,101,73,255,262,108,71,27,30,0,1,26,30,70,-40,19,7,38,4,7,8,1,4,14,5,11,22
Brentford,22,21,26,35,233,209,77,77,187,184,88,71,29,32,2,1,46,48,56,-8,24,22,38,7,3,9,6,4,9,13,7,18
Brighton,104,125,86,133,1228,958,339,324,1041,1040,525,393,158,128,5,11,209,190,258,-68,117,92,190,27,36,32,21,29,45,48,65,77
Burnley,161,195,139,260,1721,1421,600,504,1576,1589,732,601,236,273,0,9,325,300,455,-155,194,131,304,52,38,62,31,38,83,83,76,145
Cardiff,41,73,25,70,458,378,142,110,362,364,205,159,58,56,0,2,64,66,143,-77,40,24,76,11,7,20,6,6,26,17,13,46
Charlton,179,178,122,208,1436,1087,772,552,1639,1644,731,619,158,180,13,8,325,301,386,-85,195,130,266,54,33,46,31,37,65,85,70,111
Chelsea,872,338,666,419,6856,5676,3167,2549,4538,4737,2831,2350,555,759,24,37,1665,1538,757,781,918,747,836,274,96,48,218,93,107,492,189,155
Coventry,14,23,22,40,213,176,95,82,247,282,127,79,25,51,3,1,34,36,63,-27,19,15,38,4,7,8,4,3,12,8,10,20
Crystal Palace,213,236,215,309,2323,1878,797,652,2177,2274,1044,865,301,324,7,10,437,428,545,-117,233,204,380,63,44,83,52,48,90,115,92,173
Derby,55,93,35,118,536,398,257,205,769,788,268,209,97,114,2,4,83,90,211,-121,58,25,114,14,16,27,5,10,42,19,26,69
Everton,656,459,446,600,5558,4334,2551,1983,4866,5158,2590,1987,601,691,33,41,1191,1102,1059,43,725,466,836,207,104,107,114,124,180,321,228,287
Fulham,380,363,251,468,3433,2678,1698,1281,3247,3438,1531,1202,380,461,23,18,640,631,831,-200,423,217,570,120,63,102,42,91,152,162,154,254
Huddersfield,26,56,24,78,410,350,112,117,394,422,187,140,53,63,5,2,53,50,134,-84,32,21,76,8,8,22,4,9,25,12,17,47
Hull,107,145,74,178,1106,896,438,343,1180,1148,459,388,143,187,12,12,171,181,323,-142,111,60,190,29,24,42,12,24,59,41,48,101
Ipswich,51,39,47,67,528,365,261,154,382,478,268,162,25,47,1,2,102,98,106,-8,60,42,76,17,9,12,12,6,20,29,15,32
Leeds,164,158,155,191,1548,1179,665,542,1594,1574,718,546,206,241,6,13,311,319,349,-30,162,149,228,44,30,40,43,20,51,87,50,91
Leicester,308,262,275,330,2649,2152,1022,848,2282,2421,1199,1019,266,357,13,23,554,583,592,-9,324,230,418,90,54,65,60,50,99,150,104,164
Liverpool,846,319,670,489,7197,5565,3230,2581,4225,4688,3073,2379,416,672,16,29,1591,1516,808,708,904,687,836,267,103,48,197,96,125,464,199,173
Man City,845,364,633,482,6310,5305,2882,2352,4296,4568,2934,2280,503,718,25,38,1440,1478,846,632,821,619,798,252,65,82,176,91,132,428,156,214
Man United,874,328,688,454,6797,5290,3295,2564,4539,4830,2889,2351,554,752,14,37,1698,1562,782,780,941,757,836,289,74,55,218,103,97,507,177,152
Middlesbrough,251,232,163,271,2236,1697,1117,838,2314,2563,1071,732,272,344,12,20,432,414,503,-89,270,162,380,71,57,62,36,54,100,107,111,162
Newcastle,552,463,391,637,5101,3693,2330,1677,4436,4464,2243,1679,535,673,27,45,973,943,1100,-157,608,365,760,170,98,112,90,95,195,260,193,307
Norwich,156,210,95,279,1606,1267,663,489,1403,1455,689,550,189,209,7,9,234,251,489,-238,158,76,266,41,35,57,15,31,87,56,66,144
Portsmouth,184,159,108,221,1826,1230,988,628,1691,1756,839,560,194,217,12,8,302,292,380,-88,196,106,266,54,34,45,25,31,77,79,65,122
QPR,60,77,55,122,843,649,356,304,602,618,285,259,87,104,9,6,92,115,199,-84,63,29,114,15,18,24,7,8,42,22,26,66
Reading,71,78,65,108,570,503,297,243,583,634,382,325,65,81,5,4,119,136,186,-50,81,38,114,23,12,22,9,11,37,32,23,59
Sheffield United,60,63,31,94,620,461,251,165,646,678,345,218,93,109,2,5,115,91,157,-66,76,39,114,22,10,25,9,12,36,31,22,61
Southampton,399,350,299,453,3797,3188,1520,1275,3285,3460,1629,1466,365,442,25,17,704,698,803,-105,417,287,570,111,84,90,70,77,138,181,161,228
Stoke,248,213,150,312,2181,1700,854,646,2191,2278,1002,710,317,371,14,16,457,398,525,-127,297,160,380,81,54,55,35,55,100,116,109,155
Sunderland,288,336,232,459,3206,2484,1476,1139,3211,3327,1437,1114,448,522,17,34,520,520,795,-275,318,202,532,81,75,110,46,64,156,127,139,266
Swansea,179,170,127,213,1647,1317,678,521,1280,1357,724,557,188,182,6,8,312,306,383,-77,190,122,266,51,37,45,31,29,73,82,66,118
Tottenham,758,425,565,586,6430,4850,3055,2270,4604,4748,2727,2141,555,722,19,39,1370,1323,1011,312,822,548,836,245,87,86,148,104,166,393,191,252
Watford,156,205,119,236,1594,1308,529,453,1666,1671,643,588,261,216,13,11,261,275,441,-166,156,105,266,40,36,57,27,24,82,67,60,139
West Brom,295,361,215,411,2934,2428,1279,1043,2788,2859,1358,1042,359,410,13,22,490,510,772,-262,294,196,494,76,66,105,41,73,133,117,139,238
West Ham,520,472,388,588,4638,3713,2019,1565,4071,4087,2062,1672,561,652,17,36,895,908,1060,-152,538,357,722,150,88,123,88,93,180,238,181,303
Wigan,169,215,147,267,1986,1602,1024,841,1804,1886,870,638,229,289,9,18,331,316,482,-166,189,142,304,48,45,59,37,31,84,85,76,143
Wolves,181,220,147,242,1866,1488,792,627,1618,1715,860,737,234,264,6,11,348,328,462,-134,201,147,304,55,36,61,35,42,75,90,78,136
